0
pemalsuan
pencurian
kejahatan-terhadap-keamanan-negara
penghinaan
penadahan
penipuan
tidak-diketahui
kejahatan-terhadap-keteriban-umum
penggelapan
penganiayaan
lalu-lintas
perjudian
perusakan
kejahatan-terhadap-kesusilaan
pembunuhan
kealfaan-mengakibatkan-kematianluka
pemerasan-dan-pengancaman
kejahatan-terhadap-asal-usul-perkawinan
senjata-api
pemerasaan-dan-pengancaman
mata-uang
sumpah-palsu-dan-keterangan-palsu
kejahatan-terhadap-kemerdekaan-orang-lain
kehutanan
pra-peradilan
