link,kasus,pasal
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa586f43a449c906b313532373331.html,"Dengan sengaja melakukan tipu muslihat, serangkaian kebohongan, atau membujuk Anak melakukan persetubuhan dengannya",
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa586f170f0f8a58d313532373236.html,Menjual/memperdagangkan minuman beralkohol secara ecer golongan B dan C tanpa memiliki Surat Keterangan Pengecer/Penjual Langsung ( SKPL-B dan C),
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa586e6557afe9d9f313532373038.html,,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa586a3127df08b80313532353135.html,pencurian dengan pemberatan,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa586a1a48e188082313532353132.html,,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa58699504eaa8ec3313532343538.html,,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa5867e6af748922b313532343133.html,Penggelapan,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa5867bde4854a014313532343039.html,"Mengedarkan Sediaan Farmasi Dan/Atau Alat Kesehatan Yang Tidak Memenuhi Standar Dan/Atau Persyaratan Keamanan, Khasiat/Kemanfaatan Dan Mutu Sebagaimana Dimaksud Dalam Pasal 138 ayat (2) dan ayat (3)",
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa586744879028738313532333536.html,Menjual/memperdagangkan minuman beralkohol golongan A tanpa memiliki Surat Keterangan Pengecer/Penjual Langsung ( SKPL- A),
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa5867193a4dea612313532333532.html,,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa585e111678e9a7f313531393439.html,memaksa masuk ke pekarangan tertutup yang dipakai orang lain dengan melawan hukum dan atas permintaan yang berhak atas suruhannya tidak pergi dengan segera,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa585ccfda00a83e9313531393136.html,,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa585cbfc0264a18e313531393134.html,Penganiayaan Ringan,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa585c9cb0e048d57313531393130.html,,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa585b57d130c9c13313531383336.html,Pencurian dalam keadaan memberatkan yang dilakukan terus menerus sebagai perbuatan yang dilanjutkan,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa585b1e8f1029b5c313531383330.html,Penganiayaan yang mengakibatkan luka berat,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa585abef05ca8cb2313531383230.html,,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa5859a31fa048eb4313531373530.html,,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa585471d9d1e976a313531353331.html,,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa585464e7854be70313531353330.html,Pencurian,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa585434ca5e0a6a1313531353235.html,Pencurian,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa58535918c5e8562313531353031.html,ikut serta main judi ditempat yang dapat dikunjungi umum,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa584b66de6caa34e313531313238.html,Penggelapan dalam jabatan,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa584a957cf5a930a313531313036.html,"Penipuan,",
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa5849a6d85a2a305313531303431.html,Tindak Pidana Pencurian dengan pemberatan,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa58411062d508e22313530363531.html,,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa582662c235ebf3d313435343535.html,,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa5825dc7eb6c8ebd313435343430.html,,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa5825853cd548049313435343331.html,,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa582523c1d229938313435343231.html,,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa58241d97b8c8d7a313435333534.html,Penipuan,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa582138863ecb471313435323336.html,"Sengaja memberi kesempatan, sarana atau keterangan untuk melakukan kejahatan dengan tenaga bersama menggunakan kekerasan terhadap barang",
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa5820bef5f78b04d313435323233.html,dengan tenaga bersama menggunakan kekerasan terhadap barang,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa581e8766cee9ff2313435313234.html,Menguasai dan Menggunakan Alat Penangkap Ikan Yang Mengganggu dan Merusak Keberlanjutan Sumber Daya Ikan Di Kapal Penangkap Ikan Di Wilayah Pengelolaan Perikanan Negara Republik Indonesia,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa581905e897e99ad313434383536.html,Pencurian dalam keadaan memberatkan,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa581589f92588deb313434373232.html,secara bersama-sama melakukan kekerasan terhadap orang yang mengakibatkan luka,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa58154428134a623313434373135.html,Penganiayaan,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa5813a7ace148fec313434363332.html,Penadahan,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa580fb60ea24bec9313434343436.html,Pencurian dengan Pemberatan,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa580f066b66ca5aa313434343237.html,Pencurian,
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa580e4dbaf3ca47a313434343038.html,"melakukan tipu muslihat, serangkaian kebohongan atau bujukan terhadap anak untuk membiarkan dilakukan perbuatan cabul",
https://putusan3.mahkamahagung.go.id/direktori/putusan/zaefa580de000b4aaa8a313434333537.html,Pencurian dengan pemberatan,
